,model,seed,name,MCC
623,lr,4_skf_3,lr_seed_4_skf_3_paras_2_C_0.01_weight_balanced,0.20600000000000002
624,lr,4_skf_4,lr_seed_4_skf_4_paras_2_C_0.01_weight_balanced,0.265
625,lr,5_skf_0,lr_seed_5_skf_0_paras_2_C_0.01_weight_balanced,0.265
626,lr,5_skf_1,lr_seed_5_skf_1_paras_2_C_0.01_weight_balanced,0.222
627,lr,5_skf_2,lr_seed_5_skf_2_paras_2_C_0.01_weight_balanced,0.249
628,lr,5_skf_3,lr_seed_5_skf_3_paras_2_C_0.01_weight_balanced,0.304
629,lr,5_skf_4,lr_seed_5_skf_4_paras_2_C_0.01_weight_balanced,0.212
630,lr,6_skf_0,lr_seed_6_skf_0_paras_2_C_0.01_weight_balanced,0.28800000000000003
631,lr,6_skf_1,lr_seed_6_skf_1_paras_2_C_0.01_weight_balanced,0.185
632,lr,6_skf_2,lr_seed_6_skf_2_paras_2_C_0.01_weight_balanced,0.265
633,lr,6_skf_3,lr_seed_6_skf_3_paras_2_C_0.01_weight_balanced,0.255
634,lr,6_skf_4,lr_seed_6_skf_4_paras_2_C_0.01_weight_balanced,0.293
635,lr,7_skf_0,lr_seed_7_skf_0_paras_2_C_0.01_weight_balanced,0.298
636,lr,7_skf_1,lr_seed_7_skf_1_paras_2_C_0.01_weight_balanced,0.315
637,lr,7_skf_2,lr_seed_7_skf_2_paras_2_C_0.01_weight_balanced,0.293
638,lr,7_skf_3,lr_seed_7_skf_3_paras_2_C_0.01_weight_balanced,0.23800000000000002
639,lr,7_skf_4,lr_seed_7_skf_4_paras_2_C_0.01_weight_balanced,0.255
640,lr,8_skf_0,lr_seed_8_skf_0_paras_2_C_0.01_weight_balanced,0.23800000000000002
641,lr,8_skf_1,lr_seed_8_skf_1_paras_2_C_0.01_weight_balanced,0.265
642,lr,8_skf_2,lr_seed_8_skf_2_paras_2_C_0.01_weight_balanced,0.21600000000000003
643,lr,8_skf_3,lr_seed_8_skf_3_paras_2_C_0.01_weight_balanced,0.23800000000000002
644,lr,8_skf_4,lr_seed_8_skf_4_paras_2_C_0.01_weight_balanced,0.276
645,lr,9_skf_0,lr_seed_9_skf_0_paras_2_C_0.01_weight_balanced,0.265
646,lr,9_skf_1,lr_seed_9_skf_1_paras_2_C_0.01_weight_balanced,0.265
647,lr,9_skf_2,lr_seed_9_skf_2_paras_2_C_0.01_weight_balanced,0.28800000000000003
648,lr,9_skf_3,lr_seed_9_skf_3_paras_2_C_0.01_weight_balanced,0.298
649,lr,9_skf_4,lr_seed_9_skf_4_paras_2_C_0.01_weight_balanced,0.23800000000000002
650,lr,10_skf_0,lr_seed_10_skf_0_paras_2_C_0.01_weight_balanced,0.21100000000000002
651,lr,10_skf_1,lr_seed_10_skf_1_paras_2_C_0.01_weight_balanced,0.28800000000000003
652,lr,10_skf_2,lr_seed_10_skf_2_paras_2_C_0.01_weight_balanced,0.271
