,model,seed,name,MCC
84,lr,16_skf_4,lr_seed_16_skf_4_paras_0_C_0.1_weight_balanced,0.263
85,lr,17_skf_0,lr_seed_17_skf_0_paras_0_C_0.1_weight_balanced,0.215
86,lr,17_skf_1,lr_seed_17_skf_1_paras_0_C_0.1_weight_balanced,0.194
88,lr,17_skf_3,lr_seed_17_skf_3_paras_0_C_0.1_weight_balanced,0.251
89,lr,17_skf_4,lr_seed_17_skf_4_paras_0_C_0.1_weight_balanced,0.211
90,lr,18_skf_0,lr_seed_18_skf_0_paras_0_C_0.1_weight_balanced,0.198
91,lr,18_skf_1,lr_seed_18_skf_1_paras_0_C_0.1_weight_balanced,0.219
92,lr,18_skf_2,lr_seed_18_skf_2_paras_0_C_0.1_weight_balanced,0.235
93,lr,18_skf_3,lr_seed_18_skf_3_paras_0_C_0.1_weight_balanced,0.174
94,lr,18_skf_4,lr_seed_18_skf_4_paras_0_C_0.1_weight_balanced,0.191
95,lr,19_skf_0,lr_seed_19_skf_0_paras_0_C_0.1_weight_balanced,0.219
96,lr,19_skf_1,lr_seed_19_skf_1_paras_0_C_0.1_weight_balanced,0.199
97,lr,19_skf_2,lr_seed_19_skf_2_paras_0_C_0.1_weight_balanced,0.224
98,lr,19_skf_3,lr_seed_19_skf_3_paras_0_C_0.1_weight_balanced,0.182
99,lr,19_skf_4,lr_seed_19_skf_4_paras_0_C_0.1_weight_balanced,0.203
0,svm,0_skf_0,svm_seed_0_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.258
2,svm,0_skf_2,svm_seed_0_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.273
4,svm,0_skf_4,svm_seed_0_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.194
5,svm,1_skf_0,svm_seed_1_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.209
6,svm,1_skf_1,svm_seed_1_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.195
7,svm,1_skf_2,svm_seed_1_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.214
8,svm,1_skf_3,svm_seed_1_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.216
9,svm,1_skf_4,svm_seed_1_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.203
10,svm,2_skf_0,svm_seed_2_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.218
11,svm,2_skf_1,svm_seed_2_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.203
12,svm,2_skf_2,svm_seed_2_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.248
15,svm,3_skf_0,svm_seed_3_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.221
16,svm,3_skf_1,svm_seed_3_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.236
17,svm,3_skf_2,svm_seed_3_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.253
18,svm,3_skf_3,svm_seed_3_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.276
19,svm,3_skf_4,svm_seed_3_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.177
20,svm,4_skf_0,svm_seed_4_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.231
21,svm,4_skf_1,svm_seed_4_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.271
22,svm,4_skf_2,svm_seed_4_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.255
