,model,seed,name,MCC
139,lr,7_skf_4,lr_seed_7_skf_4_paras_6_C_1_weight_balanced,0.222
140,lr,8_skf_0,lr_seed_8_skf_0_paras_6_C_1_weight_balanced,0.196
141,lr,8_skf_1,lr_seed_8_skf_1_paras_6_C_1_weight_balanced,0.174
142,lr,8_skf_2,lr_seed_8_skf_2_paras_6_C_1_weight_balanced,0.168
143,lr,8_skf_3,lr_seed_8_skf_3_paras_6_C_1_weight_balanced,0.146
144,lr,8_skf_4,lr_seed_8_skf_4_paras_6_C_1_weight_balanced,0.146
145,lr,9_skf_0,lr_seed_9_skf_0_paras_6_C_1_weight_balanced,0.179
146,lr,9_skf_1,lr_seed_9_skf_1_paras_6_C_1_weight_balanced,0.212
147,lr,9_skf_2,lr_seed_9_skf_2_paras_6_C_1_weight_balanced,0.207
148,lr,9_skf_3,lr_seed_9_skf_3_paras_6_C_1_weight_balanced,0.239
149,lr,9_skf_4,lr_seed_9_skf_4_paras_6_C_1_weight_balanced,0.203
150,lr,10_skf_0,lr_seed_10_skf_0_paras_6_C_1_weight_balanced,0.18
151,lr,10_skf_1,lr_seed_10_skf_1_paras_6_C_1_weight_balanced,0.19
152,lr,10_skf_2,lr_seed_10_skf_2_paras_6_C_1_weight_balanced,0.135
153,lr,10_skf_3,lr_seed_10_skf_3_paras_6_C_1_weight_balanced,0.21899999999999997
154,lr,10_skf_4,lr_seed_10_skf_4_paras_6_C_1_weight_balanced,0.11900000000000001
155,lr,11_skf_0,lr_seed_11_skf_0_paras_6_C_1_weight_balanced,0.13
156,lr,11_skf_1,lr_seed_11_skf_1_paras_6_C_1_weight_balanced,0.109
157,lr,11_skf_2,lr_seed_11_skf_2_paras_6_C_1_weight_balanced,0.21899999999999997
158,lr,11_skf_3,lr_seed_11_skf_3_paras_6_C_1_weight_balanced,0.147
159,lr,11_skf_4,lr_seed_11_skf_4_paras_6_C_1_weight_balanced,0.214
161,lr,12_skf_1,lr_seed_12_skf_1_paras_6_C_1_weight_balanced,0.182
162,lr,12_skf_2,lr_seed_12_skf_2_paras_6_C_1_weight_balanced,0.207
163,lr,12_skf_3,lr_seed_12_skf_3_paras_6_C_1_weight_balanced,0.168
164,lr,12_skf_4,lr_seed_12_skf_4_paras_6_C_1_weight_balanced,0.174
165,lr,13_skf_0,lr_seed_13_skf_0_paras_6_C_1_weight_balanced,0.175
166,lr,13_skf_1,lr_seed_13_skf_1_paras_6_C_1_weight_balanced,0.163
167,lr,13_skf_2,lr_seed_13_skf_2_paras_6_C_1_weight_balanced,0.233
168,lr,13_skf_3,lr_seed_13_skf_3_paras_6_C_1_weight_balanced,0.201
169,lr,13_skf_4,lr_seed_13_skf_4_paras_6_C_1_weight_balanced,0.17300000000000001
170,lr,14_skf_0,lr_seed_14_skf_0_paras_6_C_1_weight_balanced,0.135
171,lr,14_skf_1,lr_seed_14_skf_1_paras_6_C_1_weight_balanced,0.18
172,lr,14_skf_2,lr_seed_14_skf_2_paras_6_C_1_weight_balanced,0.196
173,lr,14_skf_3,lr_seed_14_skf_3_paras_6_C_1_weight_balanced,0.174
174,lr,14_skf_4,lr_seed_14_skf_4_paras_6_C_1_weight_balanced,0.10800000000000001
175,lr,15_skf_0,lr_seed_15_skf_0_paras_6_C_1_weight_balanced,0.14800000000000002
176,lr,15_skf_1,lr_seed_15_skf_1_paras_6_C_1_weight_balanced,0.179
177,lr,15_skf_2,lr_seed_15_skf_2_paras_6_C_1_weight_balanced,0.158
178,lr,15_skf_3,lr_seed_15_skf_3_paras_6_C_1_weight_balanced,0.222
179,lr,15_skf_4,lr_seed_15_skf_4_paras_6_C_1_weight_balanced,0.114
181,lr,16_skf_1,lr_seed_16_skf_1_paras_6_C_1_weight_balanced,0.24600000000000002
182,lr,16_skf_2,lr_seed_16_skf_2_paras_6_C_1_weight_balanced,0.158
183,lr,16_skf_3,lr_seed_16_skf_3_paras_6_C_1_weight_balanced,0.223
184,lr,16_skf_4,lr_seed_16_skf_4_paras_6_C_1_weight_balanced,0.179
185,lr,17_skf_0,lr_seed_17_skf_0_paras_6_C_1_weight_balanced,0.19
186,lr,17_skf_1,lr_seed_17_skf_1_paras_6_C_1_weight_balanced,0.158
187,lr,17_skf_2,lr_seed_17_skf_2_paras_6_C_1_weight_balanced,0.249
188,lr,17_skf_3,lr_seed_17_skf_3_paras_6_C_1_weight_balanced,0.20600000000000002
189,lr,17_skf_4,lr_seed_17_skf_4_paras_6_C_1_weight_balanced,0.146
190,lr,18_skf_0,lr_seed_18_skf_0_paras_6_C_1_weight_balanced,0.158
191,lr,18_skf_1,lr_seed_18_skf_1_paras_6_C_1_weight_balanced,0.228
192,lr,18_skf_2,lr_seed_18_skf_2_paras_6_C_1_weight_balanced,0.185
193,lr,18_skf_3,lr_seed_18_skf_3_paras_6_C_1_weight_balanced,0.163
194,lr,18_skf_4,lr_seed_18_skf_4_paras_6_C_1_weight_balanced,0.244
195,lr,19_skf_0,lr_seed_19_skf_0_paras_6_C_1_weight_balanced,0.175
196,lr,19_skf_1,lr_seed_19_skf_1_paras_6_C_1_weight_balanced,0.16899999999999998
197,lr,19_skf_2,lr_seed_19_skf_2_paras_6_C_1_weight_balanced,0.21899999999999997
198,lr,19_skf_3,lr_seed_19_skf_3_paras_6_C_1_weight_balanced,0.19
199,lr,19_skf_4,lr_seed_19_skf_4_paras_6_C_1_weight_balanced,0.19
4300,svm,0_skf_0,svm_seed_0_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.225
4301,svm,0_skf_1,svm_seed_0_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.157
4303,svm,0_skf_3,svm_seed_0_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.138
4305,svm,1_skf_0,svm_seed_1_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.242
4306,svm,1_skf_1,svm_seed_1_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.244
4307,svm,1_skf_2,svm_seed_1_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.13699999999999998
4308,svm,1_skf_3,svm_seed_1_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.239
